label,satNo,name,cluster_variance
379,65119,GEESAT 4-01,759556732.8092017
379,65120,GEESAT 4-02,759556732.8092017
379,65121,GEESAT 4-03,759556732.8092017
379,65124,GEESAT 4-06,759556732.8092017
379,65125,GEESAT 4-07,759556732.8092017
379,65129,GEESAT 4-11,759556732.8092017
379,99999,Optimized,759556732.8092017
540,64819,KUIPER-00072,760805060.9464443
540,64833,KUIPER-00087,760805060.9464443
540,99999,Optimized,760805060.9464443
849,99999,Optimized,748600551.6357261
849,47143,STARLINK-1856,748600551.6357261
849,47884,STARLINK-2343,748600551.6357261
849,47887,STARLINK-2346,748600551.6357261
849,47907,STARLINK-2367,748600551.6357261
849,47919,STARLINK-2405,748600551.6357261
1125,99999,Optimized,748213842.5667187
1125,52628,STARLINK-4001,748213842.5667187
1125,52622,STARLINK-4008,748213842.5667187
1125,53863,STARLINK-4788,748213842.5667187
1212,99999,Optimized,751071589.742756
1212,51468,STARLINK-3174,751071589.742756
1212,51469,STARLINK-3182,751071589.742756
1212,51465,STARLINK-3401,751071589.742756
1212,52608,STARLINK-3979,751071589.742756
1213,99999,Optimized,750978873.6554346
1213,51462,STARLINK-3166,750978873.6554346
1213,52609,STARLINK-3997,750978873.6554346
1213,52612,STARLINK-4002,750978873.6554346
1252,99999,Optimized,751235671.3318663
1252,51461,STARLINK-3181,751235671.3318663
1252,51464,STARLINK-3189,751235671.3318663
1252,51472,STARLINK-3415,751235671.3318663
1253,99999,Optimized,751202097.1115849
1253,51467,STARLINK-3178,751202097.1115849
1253,51463,STARLINK-3419,751202097.1115849
1253,52606,STARLINK-3928,751202097.1115849
1253,52602,STARLINK-4012,751202097.1115849
1253,52603,STARLINK-4016,751202097.1115849
1253,52599,STARLINK-4024,751202097.1115849
1253,52600,STARLINK-4026,751202097.1115849
1253,52601,STARLINK-4027,751202097.1115849
1302,99999,Optimized,750678445.1259352
1302,53783,STARLINK-4536,750678445.1259352
1302,53793,STARLINK-4728,750678445.1259352
1302,53794,STARLINK-4730,750678445.1259352
1302,53790,STARLINK-4734,750678445.1259352
1302,53787,STARLINK-4743,750678445.1259352
1302,53867,STARLINK-4793,750678445.1259352
1302,53902,STARLINK-5021,750678445.1259352
1303,99999,Optimized,750745224.4067162
1303,53781,STARLINK-4462,750745224.4067162
1303,53777,STARLINK-4664,750745224.4067162
1303,53782,STARLINK-4679,750745224.4067162
1303,53779,STARLINK-4706,750745224.4067162
1303,53798,STARLINK-4712,750745224.4067162
1303,53797,STARLINK-4723,750745224.4067162
